Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;289;LESAO CORPORAL;BAIRRO ALTO;11;RESIDENCIA
2018;290;ROUBO;CAMPINA DO SIQUEIRA;9;MERCADO
2018;291;ROUBO;PINHEIRINHO;0;PUBLICO
2018;292;ROUBO;CENTRO CIVICO;23;PUBLICO
2018;293;FURTO SIMPLES;CENTRO;15;TRANSPORTE
2018;294;ROUBO;BATEL;0;RESIDENCIA
2018;295;FURTO DE COISA COMUM;CENTRO;14;COMERCIO
2018;296;ROUBO;CENTRO;8;SAUDE
2018;297;FURTO QUALIFICADO;XAXIM;13;PUBLICO
2018;298;ROUBO;SEMINARIO;3;SAUDE
2018;299;FURTO QUALIFICADO;PINHEIRINHO;0;COMERCIO
2018;300;ROUBO;CAJURU;13;PUBLICO
2018;301;FURTO SIMPLES;JARDIM BOTANICO;18;TRANSPORTE
2018;302;ROUBO;CIDADE INDUSTRIAL;16;PUBLICO
2018;303;ROUBO;PINHEIRINHO;17;PUBLICO
2018;304;ROUBO;PINHEIRINHO;17;VEICULO
2018;305;FURTO QUALIFICADO;FAZENDINHA;14;RESIDENCIA
2018;306;ROUBO;CIDADE INDUSTRIAL;16;PUBLICO
2018;307;ROUBO;CIDADE INDUSTRIAL;20;PUBLICO
2018;308;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SITIO CERCADO;19;PUBLICO
2018;309;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SITIO CERCADO;19;RESIDENCIA
2018;310;LESAO CORPORAL;SAO BRAZ;20;PUBLICO
2018;311;FURTO QUALIFICADO;CIDADE INDUSTRIAL;22;PUBLICO
2018;312;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CACHOEIRA;21;PUBLICO
2018;313;LESAO CORPORAL;SITIO CERCADO;21;RESIDENCIA
2018;314;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PORTAO;22;PUBLICO
2018;315;LESAO CORPORAL;CIDADE INDUSTRIAL;20;PUBLICO
2018;316;FURTO SIMPLES;CAJURU;21;RESIDENCIA
2018;317;ROUBO;CAJURU;20;SAUDE
2018;318;FURTO QUALIFICADO;CAJURU;15;RESIDENCIA
2018;319;FURTO QUALIFICADO;CIDADE INDUSTRIAL;16;PUBLICO
2018;320;FURTO QUALIFICADO;CIDADE INDUSTRIAL;16;RESIDENCIA
2018;321;LESAO CORPORAL;CAJURU;12;OUTROS
2018;322;FURTO QUALIFICADO;UBERABA;13;RESIDENCIA
2018;323;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;3;PUBLICO
2018;324;FURTO QUALIFICADO;AGUA VERDE;20;PUBLICO
2018;325;FURTO QUALIFICADO;AGUA VERDE;15;PUBLICO
2018;326;FURTO SIMPLES;AGUA VERDE;20;PUBLICO
2018;327;ROUBO;CRISTO REI;16;COMERCIO
2018;328;FURTO QUALIFICADO;PAROLIN;8;RESIDENCIA
2018;329;FURTO QUALIFICADO;PORTAO;21;ASSOCIACAO
2018;330;FURTO SIMPLES;CAJURU;21;PUBLICO
2018;331;FURTO QUALIFICADO;FANNY;4;PRESTACAO DE SERVICOS
2018;332;FURTO SIMPLES;NOVO MUNDO;7;RESIDENCIA
